source_1,source_2,priority,RU,DE,NL,EN,
Ясно,1,,добро пожаловать,herzlich willkommen,hartelijk welkom,welcome,
Ясно,1,,здравствуйте,"guten Tag, formell","goedendag, formeel","hello, formal",
Ясно,1,,я,ich,ik,I,
Ясно,1,,а,und,en,and,
Ясно,1,,кто,wer,wie,who,
Ясно,1,,вы,"Sie, ihr","u, jullie",you,
Ясно,1,,ты,du,jij,you,
Ясно,1,,добрый день,guten Tag ,goedendag,good day,
Ясно,1,,здравствуй,"guten Tag, informell","goedendag, informeel","hello, informal",
Ясно,1,,привет,hallo,hallo,hello,
Ясно,1,,это,"das ist, das sind","dat is, dat zijn","that is, these are",
Ясно,1,,господин,Herr,Mijnheer,mister,
Ясно,1,,госпожа,Frau,Mevrouw,miss,
Ясно,1,,до свидания,auf wiedersehen,tot ziens,goodbye,
Ясно,1,,пока,tschüss,doei,bye,
Ясно,1,,нет,nein,nee,no,
Ясно,1,,что,was,wat,what,
Ясно,1,,на фотографии,auf dem Foto,op de foto,on the picture,
Ясно,1,,на,"auf, in","op, in","on, in",
Ясно,1,,фотография,das Foto,de foto,the photo,
Rock 'N Learn,"Numbers, colors and more",,дом,das Haus,het huis,the house,
Rock 'N Learn,"Numbers, colors and more",,дверь,die Tür,de deur,the door,
Rock 'N Learn,"Numbers, colors and more",,окно,das Fenster,het raam,the window,
Rock 'N Learn,"Numbers, colors and more",,стол,der Tisch,de tafel,the table,
Rock 'N Learn,"Numbers, colors and more",,стул,der Stuhl,de stoel,the chair,
Rock 'N Learn,"Numbers, colors and more",,диван,der Sofa,de bank,the couch,
Rock 'N Learn,"Numbers, colors and more",,лестница,die Treppe,de trap,the stairs,
Rock 'N Learn,"Numbers, colors and more",,кровать,das Bett,het bed,the bed,
Rock 'N Learn,"Numbers, colors and more",,одеяло,die Decke,de deken,the blanket,
Rock 'N Learn,"Numbers, colors and more",,подушка,das Kissen,het kussen,the pillow,
Rock 'N Learn,"Numbers, colors and more",,лампа,die Lampe,de lamp,the lamp,
Rock 'N Learn,"Numbers, colors and more",,выключатель,der Lichtschalter,de lichtschakelaar,the light switch,
Rock 'N Learn,"Numbers, colors and more",,шкаф,der Schrank,de kast,the closet,
Rock 'N Learn,"Numbers, colors and more",,выдвижной ящик,die Schublade,de la,the drawer,
Rock 'N Learn,"Numbers, colors and more",,ручка,der Kugelschreiber,de pen,the pen,
Rock 'N Learn,"Numbers, colors and more",,мелки,die Buntstifte,de kleurpotloden,the crayons,
Rock 'N Learn,"Numbers, colors and more",,бумага,das Papier,het papier,the paper,
Rock 'N Learn,"Numbers, colors and more",,карандаш,der Bleistift,het potlood,the pencil,
Rock 'N Learn,"Numbers, colors and more",,вентилятор,der Ventilator,de ventilator,the fan,
