EN,NL,type,misc
(African) bare-eyed thrush,brillijster {de} [Turdus tephronotus],noun,[orn.] [T] 
(African) black eagle,zwarte arend {de} [Aquila verreauxii],noun,[orn.] [T] 
(African) crowned eagle,kroonarend {de} [Stephanoaetus coronatus],noun,[orn.] [T] 
(African) death's head hawkmoth,doodshoofdpijlstaart {de} [Acherontia atropos],noun,[entom.] [T] 
(African) dwarf bittern,Afrikaanse woudaap {de} [Ixobrychus sturmii],noun,[orn.] [T] 
(African) white-backed vulture,witruggier {de} [Gyps africanus],noun,[orn.] [T] 
(American) black swift,zwarte gierzwaluw {de} [Cypseloides niger],noun,[T] [orn.] 
(American) brook trout,bronforel {de} [Salvelinus fontinalis],noun,[T] [fish] 
(American) bushtit,struikmees {de} [Psaltriparus minimus],noun,[orn.] [T] 
(American) king vulture,koningsgier {de} [Sarcoramphus papa],noun,[T] [orn.] 
(apple) codling moth,appelbladroller {de} [Cydia pomonella] [nachtvlindersoort],noun,[entom.] [T] 
(apple) codling moth,fruitmot {de} [Cydia pomonella],noun,[entom.] [T] 
(articular) gout,jicht {de},noun,[med.] 
(as) for the rest,overigens,adv,
(as) for the rest,voor de rest,,
(Asian) crested goshawk,kuifhavik {de} [Accipiter trivirgatus],noun,[T] [orn.] 
(Asian) tiger mosquito,Aziatische tijgermug {de} [Aedes albopictus],noun,[entom.] [T] 
(Australian) black-shouldered kite,"Australische grijze wouw {de} [Elanus axillaris, syn.: Elanus notatus]",noun,[T] [orn.] 
(automatic) towel dispenser,handdoekautomaat {de},noun,
(beard) stubble {sg},baardstoppels {mv},noun,
(beauty) pageant [Am.],schoonheidswedstrijd {de},noun,
(beer) coaster [Am.],bierviltje {het},noun,
(black-crowned) night heron,kwak {de} [Nycticorax nycticorax],noun,[orn.] [T] 
(black-legged) kittiwake,drieteenmeeuw {de} [Rissa tridactyla],noun,[orn.] [T] 
(blood) platelet,bloedplaatje {het},noun,[biol.] [med.] 
(cardiac) infarction,hartaanval {de},noun,[med.] 
(cash) register,kassa {de},noun,
(chattering) yellowbill,blauwe geelsnavelmalkoha {de} [Ceuthmochares aereus],noun,[orn.] [T] 
(child) prodigy,wonderkind {het},noun,
(close) together,aaneen,adv,
(closely) related,aanverwant,adj,
(collective) bargaining round,loonronde {de},noun,[jobs] 
(coming) from there,daarvandaan,adv,
(common) barn owl,kerkuil {de} [Tyto alba],noun,[orn.] [T] 
(common) blackbird,merel {de} [Turdus merula],noun,[orn.] [T] 
(common) brimstone,citroenvlinder {de} [Gonepteryx rhamni],noun,[entom.] [T] 
(common) chiffchaff,tjiftjaf {de} [Phylloscopus collybita],noun,[T] [orn.] 
(common) dwarf mongoose,dwergmangoest {de} [Helogale parvula],noun,[zool.] [T] 
(common) hill myna,beo {de} [Gracula religiosa],noun,[orn.] [T] 
(common) hill mynah,beo {de} [Gracula religiosa],noun,[orn.] [T] 
(common) hornet,hoornaar {de} [Vespa crabro],noun,[entom.] [T] 
(common) house martin,huiszwaluw {de} [Delichon urbicum],noun,[orn.] [T] 
(common) little bittern,woudaapje {het} [Ixobrychus minutus],noun,[T] [orn.] 
(common) little bittern,woudaap {de} [Ixobrychus minutus],noun,[orn.] [T] 
(common) little bittern,wouwaap {de} [Ixobrychus minutus],noun,[orn.] [T] 
(common) lungwort,gevlekt longkruid {het} [Pulmonaria officinalis],noun,[bot.] [T] 
(common) midwife toad,vroedmeesterpad {de} [Alytes obstetricans],noun,[zool.] [T] 
(common) minnow,elrits {de} [Phoxinus phoxinus],noun,[fish] [T] 
(common) mouse moth,boksbaardvlinder {de} [Amphipyra tragopoginis],noun,[entom.] [T] 
(common) raven,raaf {de} [Corvus corax],noun,[orn.] [T] 
(common) redshank,tureluur {de} [Tringa totanus],noun,[orn.] [T] 
(common) redstart,gekraagde roodstaart {de} [Phoenicurus phoenicurus],noun,[orn.] [T] 
(common) reed bunting,rietgors {de} [Emberiza schoeniclus],noun,[orn.] [T] 
(common) ringed plover,bontbekplevier {de} [Charadrius hiaticula],noun,[orn.] [T] 
(common) roach,"blankvoorn {de} [Rutilus rutilus, syn.: Leuciscus rutilus]",noun,[fish] [T] 
(common) rosefinch,"roodmus {de} [Carpodacus erythrinus, syn.: Erythrina erythrina]",noun,[orn.] [T] 
