RU,EN,type,misc
(За) Ваше здоровье! [тост],To your health!,,
(Мне) открыть дверь?,Shall I open the door?,,
(Одну) минуту!,"One moment, please!",,
"(Это) зависит от того, ... ли ...",It depends on whether ...,,
(автоматический) предохранитель {м},circuit breaker,noun,
(алюминиевая) фольга {ж},aluminium foil [Br.],noun,
(атлантическая) суповая акула {ж} [Galeorhinus galeus],school shark,noun,[fish] [T] 
(атлантическая) суповая акула {ж} [Galeorhinus galeus],snapper shark,noun,[fish] [T] 
(атлантическая) суповая акула {ж} [Galeorhinus galeus],soupfin shark,noun,[fish] [T] 
(атлантическая) суповая акула {ж} [Galeorhinus galeus],tope shark,noun,[fish] [T] 
(африканский) трубкозуб {м} [Orycteropus afer],aardvark,noun,[zool.] [T] 
(банковский) счёт {м},(bank) account,noun,[comm.] [fin.] 
(белохвостый) лавровый голубь {м} [Columba junoniae],(white-tailed) laurel pigeon,noun,[T] [orn.] 
(бельевая) прищепка {ж},clothespeg [Br.],noun,
(библейская) песнь {ж},canticle,noun,[relig.] 
(бивачный) костёр {м},campfire,noun,
(благоговейный) страх {м},dread,noun,
(боксёрский) ринг {м},(boxing) ring,noun,[sports] 
(большая) голубая акула {ж} [Prionace glauca],blue shark,noun,[T] [fish] 
(большой) зимний скат {м} [Leucoraja ocellata],winter skate,noun,[T] [fish] 
(большой) ящик {м},crate,noun,
(бытовой) прибор {м},appliance,noun,
(врачебный) обход {м},round [made by a doctor],noun,[med.] 
(временной) интервал {м},interval,noun,
(высоко) ценить [несов.],to regard highly,verb,
(вязальная) спица {ж},knitting needle,noun,
(грамматическое) время {с},tense,noun,[ling.] 
(гусиное) перо {с} [для письма],quill [writing implement],noun,
(густой) туман {м},fog,noun,
(дверной) звонок {м},doorbell,noun,
(деловая) встреча {ж},(business) meeting,noun,
(денежный) сбор {м},fees,noun,
(денежный) штраф {м},fine [penalty],noun,
(детская) коляска {ж},pram [Br.],noun,
(детский) манеж {м},playpen,noun,
(душевное) волнение {с},emotion [agitation],noun,
(европейский) зубр {м} [Bison bonasus],(European) bison,noun,[zool.] [T] 
(европейский) шпрот {м} [Sprattus sprattus],European sprat,noun,[fish] [T] 
(женский) монастырь {м},convent,noun,[relig.] 
(заводная) рукоятка {ж},crank [handle],noun,[tech.] 
(заранее) предполагать [несов.],to presuppose,verb,
(застёжка-)молния {ж},zipper [Am.],noun,
(и) днём и ночью,day and night,adv,
(излишне) самоуверенный,cocksure [coll.] [pej.],adj,
(имя) существительное {с} женского рода,feminine noun,noun,[ling.] 
(имя) существительное {с} мужского рода,masculine noun,noun,[ling.] 
(имя) существительное {с} среднего рода,neuter noun,noun,[ling.] 
(инвентаризационная) опись {ж},inventory,noun,
(искусственный) спутник {м} [запущенный в СССР],sputnik [also: Sputnik],noun,[astronau] 
(канцелярская) кнопка {ж},drawing pin [Br.],noun,
(капитальный) ремонт {м},overhaul,noun,
(карманное) зеркальце {с},pocket mirror,noun,
(кафедральный) собор {м},cathedral,noun,[archi.] [relig.] 
(коммерческое) предложение {с} [оферта с указанием цены],quotation,noun,[econ.] 
(краткая) автобиография {ж},curriculum vitae <CV>,noun,
(кричаще) безвкусный,tawdry,adj,
(круглая) скобка {ж},parenthesis,noun,
(куда-нибудь) в другое место,elsewhere [to some other place],adv,
(культурное) наследие {с},heritage [fig.],noun,
(кухонная) вытяжка {ж},extractor hood [esp. Br.],noun,
(лечебное) средство {с},cure,noun,
(лечебный) стационар {м},hospital,noun,[med.] 
(любовная) связь {ж},liaison [sexual],noun,
(лёгкий) туман {м},mist [light fog],noun,[meteo.] 
